line,el,wl,Ek,n,bias,scatter,within,bias_direct,scatter_direct,n_direct,f_direct,f_rescued,blend_median,weight
117,Fe,188.8730010986328,9.14399242401123,3006.0,0.7510973441041742,0.3950870550700618,0.2948032221272037,0.260757838386823,0.1887996790736363,340.0,0.10161386730424388,0.8983861326957562,0.32242363691329956,0.9829851625942897
142,Fe,200.10299682617188,8.717902183532715,3346.0,0.8493549724741456,0.3346298835134949,0.2705357573148942,,,,0.0,1.0,0.1151963472366333,0.9992544620207431
224,Fe,223.46099853515625,8.127942085266113,3346.0,0.939067945712182,0.3680148965119048,0.28957796354319243,,,,0.0,1.0,0.04288751818239689,0.9989668798592043
292,Fe,244.00399780273438,8.234003067016602,1284.0,-0.8192911101774456,0.4346278222309458,0.48178481175895327,,,,0.0,0.38374178123132097,0.5950882434844971,0.0028008425166849648
300,Fe,248.40199279785156,4.991271018981934,95.0,-4.152333943986548,0.7979718626136919,0.23246754789806262,,,,0.0,0.02839210998206814,0.6997838616371155,0.02481247167355623
332,Fe,258.6650085449219,4.793235778808594,1002.0,-1.247229055819865,0.4732240532163604,0.5160693932943926,-0.47109839621290917,0.23284607359794812,1169.0,0.3493723849372385,0.2994620442319187,0.5109261870384216,0.007665904474254102
360,Fe,275.6549987792969,5.48413610458374,1486.0,-0.9758580254893445,0.35460985927067584,0.9040189475341417,-0.4597608282615724,0.2290416225242343,1856.0,0.5546921697549313,0.44411237298266587,0.04344627261161804,0.011504742082405933
420,Fe,299.5299987792969,4.190860748291016,2120.0,-0.817966002934094,0.4707851544261445,0.37633696211715095,,,,0.0,0.6335923490735206,0.3784780651330948,0.0035766500157798525
473,Fe,322.6719970703125,6.241628646850586,3315.0,-0.35498582444620297,0.2788814129644921,0.2674222723335927,,,,0.0,0.9907352062163778,0.24568022787570953,0.9979827730584114
539,Fe,356.6400146484375,4.43461275100708,1947.0,-0.09008141763606048,0.12837912791526712,0.1732572808946532,,,,0.0,0.5818888224745965,0.06094671040773392,0.0049408662886250634
558,Fe,363.25,4.37135124206543,72.0,2.6711394430579682,3.6842908982525397,2.5141465620935954,0.21375222287610285,0.11138860522062215,3271.0,0.9775851763299462,0.021518230723251645,0.6474835872650146,0.9979841989717525
577,Fe,372.0989990234375,3.332019567489624,409.0,-0.22391647120164038,0.16559315591696605,0.13060215868808472,-0.3029504783276096,0.11990196653266849,2876.0,0.8595337716676629,0.12223550508069336,0.03920953720808029,0.0029953670414822205
585,Fe,375.05499267578125,4.220362186431885,3140.0,-0.15507286535448372,0.1164395905709806,0.3693027933625893,0.14655239864827152,0.12039222806638535,199.0,0.05947399880454274,0.9384339509862523,0.013963195960968733,0.0016623775875925489
600,Fe,382.1510009765625,4.1033735275268555,132.0,-0.1877174525530183,2.2878007352325804,0.12041866792063147,0.28050955833317914,0.09395255371112661,3198.0,0.9557680812910938,0.03945008965929468,0.19745374470949173,0.9974398409935855
676,Fe,404.6960144042969,4.548506259918213,142.0,-1.1221351236721926,0.9958742009253914,0.6310871751800753,-0.08018207420746393,0.09119371192699668,3125.0,0.9339509862522415,0.042438732815301854,0.6139538884162903,0.004327077486343028
685,Fe,406.4739990234375,4.607593059539795,298.0,-0.4929718841984023,0.4932487423029556,0.8690725347632936,-0.06473384042997843,0.08936509626666372,3048.0,0.9109384339509863,0.08906156604901375,0.22506505250930786,0.0015041228369331086
21,,,,,,,,0.2406161901377999,0.18391238415595243,2330.0,0.6963538553496712,0.0,,0.9979602317218489
23,,,,,,,,-0.24630441298725714,0.1595442667158373,2020.0,0.6037059175134489,0.0,,0.0024751171805403
69,,,,,,,,-1.6969527038668275e-05,1.266389256065281e-06,767.0,0.22922893006575015,0.0,,0.011178630677468236
80,,,,,,,,0.31620174964226067,0.1834426659707178,115.0,0.034369396294082484,0.0,,0.0077952910320290445
97,,,,,,,,-1.332369516759968e-05,0.05450380911956969,276.0,0.08248655110579797,0.0,,0.00549849789639664
104,,,,,,,,-1.3077044719977948e-05,3.3235765223693645e-07,40.0,0.011954572624028692,0.0,,0.00024233863767860231
123,,,,,,,,0.009607424034413725,0.4515936357801175,87.0,0.026001195457262403,0.0,,0.0026303423610059867
126,,,,,,,,-1.1689985978335926e-05,8.41081938679622e-07,595.0,0.17782426778242677,0.0,,1.474894398927208e-05
136,,,,,,,,0.22308689691305972,0.13109086482829596,383.0,0.11446503287507472,0.0,,0.9354786944109386
143,,,,,,,,0.22333476217583836,0.1528070153160431,1113.0,0.33263598326359833,0.0,,0.0041673880345960805
150,,,,,,,,0.24256308181058017,0.2886472792163973,770.0,0.2301255230125523,0.0,,0.00957018192721079
155,,,,,,,,0.06896405677655082,0.21087069687183854,1778.0,0.5313807531380753,0.0,,0.008263101445936784
157,,,,,,,,0.006834353037064034,0.17944748090384968,1429.0,0.427077106993425,0.0,,0.0009653181254241068
160,,,,,,,,-0.15060693642287504,0.1994077759458622,309.0,0.09234907352062163,0.0,,0.0024383085644605787
161,,,,,,,,-1.576551370874313e-05,8.544481627922095e-07,1387.0,0.41452480573819483,0.0,,0.9445533998922231
176,,,,,,,,-0.6125110154545368,0.35624159934499133,259.0,0.07740585774058577,0.0,,0.9965873743882816
