line,el,wl,Ek,n,bias,scatter,within,bias_direct,scatter_direct,n_direct,f_direct,f_rescued,blend_median,weight
685,Fe,406.4739990234375,4.607593059539795,297.0,-0.4936833843565722,0.5132237917734771,0.8990437877818015,-0.06473384042997843,0.08936509626666372,3048.0,0.9109384339509863,0.08876270173341302,0.18656383454799652,0.0016535640427356424
21,,,,,,,,0.2406161901377999,0.18391238415595243,2330.0,0.6963538553496712,0.0,,0.9985137516987288
23,,,,,,,,-0.24630441298725714,0.1595442667158373,2020.0,0.6037059175134489,0.0,,0.00343862300960362
69,,,,,,,,-1.6969527038668275e-05,1.266389256065281e-06,767.0,0.22922893006575015,0.0,,0.010129396718334313
80,,,,,,,,0.31620174964226067,0.1834426659707178,115.0,0.034369396294082484,0.0,,0.008006653270951219
97,,,,,,,,-1.332369516759968e-05,0.05450380911956969,276.0,0.08248655110579797,0.0,,0.004182996058836198
104,,,,,,,,-1.3077044719977948e-05,3.3235765223693645e-07,40.0,0.011954572624028692,0.0,,0.0002371650618762947
123,,,,,,,,0.009607424034413725,0.4515936357801175,87.0,0.026001195457262403,0.0,,0.0024318065055514144
126,,,,,,,,-1.1689985978335926e-05,8.41081938679622e-07,595.0,0.17782426778242677,0.0,,1.4497103589855246e-05
136,,,,,,,,0.22308689691305972,0.13109086482829596,383.0,0.11446503287507472,0.0,,0.7414525280776336
143,,,,,,,,0.22333476217583836,0.1528070153160431,1113.0,0.33263598326359833,0.0,,0.004231836089193858
150,,,,,,,,0.24256308181058017,0.2886472792163973,770.0,0.2301255230125523,0.0,,0.014205644541889356
155,,,,,,,,0.06896405677655082,0.21087069687183854,1778.0,0.5313807531380753,0.0,,0.007243993835231904
157,,,,,,,,0.006834353037064034,0.17944748090384968,1429.0,0.427077106993425,0.0,,0.0010736274727593488
160,,,,,,,,-0.15060693642287504,0.1994077759458622,309.0,0.09234907352062163,0.0,,0.0024947262123617285
161,,,,,,,,-1.576551370874313e-05,8.544481627922095e-07,1387.0,0.41452480573819483,0.0,,0.9885546073215846
176,,,,,,,,-0.6125110154545368,0.35624159934499133,259.0,0.07740585774058577,0.0,,0.9974446454135861
